target-names,no-steps,concentration-required-mM,amount-required-uL,batch-tag,reactant-1-1,reactant-2-1,reaction-product-smiles-1,reaction-name-1,reaction-recipe-1,reaction-groupby-column-1,reactant-1-2,reactant-2-2,reaction-product-smiles-2,reaction-name-2,reaction-recipe-2,reaction-groupby-column-2,reactant-1-3,reactant-2-3,reaction-product-smiles-3,reaction-name-3,reaction-recipe-3,reaction-groupby-column-3
C85498,1,,,,COCCCI,CC(=O)c1ccc(O)c(N)c1,COCCCOc1ccc(C(C)=O)cc1N,Williamson_ether_synthesis,,,,,,,,,,,,,,
C20532,1,,,,O=C1NCCN1c1ccc(Br)cc1,NCc1ccc(C(F)(F)F)c(Cl)c1,O=C1NCCN1c1ccc(NCc2ccc(C(F)(F)F)c(Cl)c2)cc1,Buchwald-Hartwig_amination,,,,,,,,,,,,,,
C85509,1,,,,COCCCI,CC(=O)c1ccc(O)c(F)c1,COCCCOc1ccc(C(C)=O)cc1F,Williamson_ether_synthesis,,,,,,,,,,,,,,
C107383,1,,,,CC(C#N)C(=O)O,CN(C)C(=O)c1ccc2c(c1)CCN2,CC(C#N)C(=O)N1CCc2cc(C(=O)N(C)C)ccc21,Amidation,,,,,,,,,,,,,,
C65303,1,,,,CCC(=O)c1ccc(O)cc1,C#CCCI,C#CCCOc1ccc(C(=O)CC)cc1,Williamson_ether_synthesis,,,,,,,,,,,,,,
C65304,1,,,,O=C1CCc2cc(O)ccc21,C#CCCI,C#CCCOc1ccc2c(c1)CCC2=O,Williamson_ether_synthesis,,,,,,,,,,,,,,
C107428,1,,,,O=C(O)C1CNC1,CN(C)C(=O)c1ccc2c(c1)CCN2,CN(C)C(=O)c1ccc2c(c1)CCN2C(=O)C1CNC1,Amidation,,,,,,,,,,,,,,
C47122,1,,,,COc1nc(C(N)=O)ccc1N,N#CC1(C(=O)O)CC1,COc1nc(C(N)=O)ccc1NC(=O)C1(C#N)CC1,Amidation,,,,,,,,,,,,,,
C75621,1,,,,O=C(O)C1CCCS1,Nc1ccc2c(c1)C(=O)C(Cl)=C(Cl)C2=O,O=C1C(Cl)=C(Cl)C(=O)c2cc(NC(=O)C3CCCS3)ccc21,Amidation,,,,,,,,,,,,,,
C47142,1,,,,CN(C)C(=O)c1ccc(N)cn1,N#CC1(C(=O)O)CC1,CN(C)C(=O)c1ccc(NC(=O)C2(C#N)CC2)cn1,Amidation,,,,,,,,,,,,,,
C107461,1,,,,NC(CCl)C(=O)O,CN(C)C(=O)c1ccc2c(c1)CCN2,CN(C)C(=O)c1ccc2c(c1)CCN2C(=O)C(N)CCl,Amidation,,,,,,,,,,,,,,
C67318,1,,,,FCCI,O=C1CCCCc2cc(O)ccc21,O=C1CCCCc2cc(OCCF)ccc21,Williamson_ether_synthesis,,,,,,,,,,,,,,
