,1_product_smiles
165,NC(=O)[C@H]1CN(C(=O)[C@H]2CSc3c(Br)cccc32)[C@@H]2C[C@H]12
166,NC(=O)[C@@H]1CN(C(=O)[C@@H]2CSc3c(Br)cccc32)[C@H]2C[C@H]12
167,NC(=O)[C@H]1CN(C(=O)[C@@H]2CSc3c(Br)cccc32)[C@H]2C[C@H]12
168,NC(=O)[C@@H]1CN(C(=O)[C@H]2CSc3c(Br)cccc32)[C@H]2C[C@H]12
169,NC(=O)[C@H]1CN(C(=O)[C@H]2CSc3c(Br)cccc32)[C@H]2C[C@H]12
170,NC(=O)[C@@H]1CN(C(=O)[C@@H]2CSc3c(Br)cccc32)[C@@H]2C[C@H]21
171,NC(=O)[C@H]1CN(C(=O)[C@@H]2CSc3c(Br)cccc32)[C@@H]2C[C@@H]12
172,NC(=O)[C@@H]1CN(C(=O)[C@H]2CSc3c(Br)cccc32)[C@@H]2C[C@H]21
173,NC(=O)[C@H]1CN(C(=O)[C@H]2CSc3c(Br)cccc32)[C@@H]2C[C@@H]12
174,NC(=O)[C@@H]1CN(C(=O)[C@@H]2CSc3c(Br)cccc32)[C@H]2C[C@@H]12
175,NC(=O)[C@H]1CN(C(=O)[C@@H]2CSc3c(Br)cccc32)[C@H]2C[C@@H]12
176,NC(=O)[C@@H]1CN(C(=O)[C@H]2CSc3c(Br)cccc32)[C@H]2C[C@@H]12
177,NC(=O)[C@H]1CN(C(=O)[C@H]2CSc3c(Br)cccc32)[C@H]2C[C@@H]12
178,CSc1cc(C)ccc1CC(=O)N1C[C@@H]2C[C@]2(C(N)=O)C1
179,CSc1cc(C)ccc1CC(=O)N1C[C@H]2C[C@]2(C(N)=O)C1
180,CSc1cc(C)ccc1CC(=O)N1C[C@@H]2C[C@@]2(C(N)=O)C1
181,CSc1cc(C)ccc1CC(=O)N1C[C@H]2C[C@@]2(C(N)=O)C1
182,CSc1cc(C)ccc1CC(=O)N1C[C@H](C(N)=O)[C@@H]2C[C@@H]21
183,CSc1cc(C)ccc1CC(=O)N1C[C@@H](C(N)=O)[C@@H]2C[C@@H]21
184,CSc1cc(C)ccc1CC(=O)N1C[C@H](C(N)=O)[C@H]2C[C@@H]21
185,CSc1cc(C)ccc1CC(=O)N1C[C@@H](C(N)=O)[C@H]2C[C@@H]21
186,CSc1cc(C)ccc1CC(=O)N1C[C@H](C(N)=O)[C@@H]2C[C@H]21
187,CSc1cc(C)ccc1CC(=O)N1C[C@@H](C(N)=O)[C@@H]2C[C@H]21
188,CSc1cc(C)ccc1CC(=O)N1C[C@H](C(N)=O)[C@H]2C[C@H]21
189,CSc1cc(C)ccc1CC(=O)N1C[C@@H](C(N)=O)[C@H]2C[C@H]21
190,CSc1ccccc1[C@H](N)C(=O)N1CCC[C@H](C(N)=O)C1
191,CSc1ccccc1[C@@H](N)C(=O)N1CCC[C@H](C(N)=O)C1
192,CSc1ccccc1[C@H](N)C(=O)N1CCC[C@@H](C(N)=O)C1
193,CSc1ccccc1[C@@H](N)C(=O)N1CCC[C@@H](C(N)=O)C1
194,CSc1cc(C)ccc1CC(=O)N1CCC[C@H](C(N)=O)C1
195,CSc1cc(C)ccc1CC(=O)N1CCC[C@@H](C(N)=O)C1
196,CSc1ccccc1[C@H](F)C(=O)N1CCC[C@H](C(N)=O)C1
197,CSc1ccccc1[C@@H](F)C(=O)N1CCC[C@H](C(N)=O)C1
198,CSc1ccccc1[C@H](F)C(=O)N1CCC[C@@H](C(N)=O)C1
199,CSc1ccccc1[C@@H](F)C(=O)N1CCC[C@@H](C(N)=O)C1
200,CSc1ccccc1[C@H](F)C(=O)N1C[C@@H]2C[C@]2(C(N)=O)C1
201,CSc1ccccc1[C@@H](F)C(=O)N1C[C@@H]2C[C@]2(C(N)=O)C1
202,CSc1ccccc1[C@H](F)C(=O)N1C[C@H]2C[C@]2(C(N)=O)C1
203,CSc1ccccc1[C@@H](F)C(=O)N1C[C@H]2C[C@]2(C(N)=O)C1
204,CSc1ccccc1[C@H](F)C(=O)N1C[C@@H]2C[C@@]2(C(N)=O)C1
205,CSc1ccccc1[C@@H](F)C(=O)N1C[C@@H]2C[C@@]2(C(N)=O)C1
206,CSc1ccccc1[C@H](F)C(=O)N1C[C@H]2C[C@@]2(C(N)=O)C1
207,CSc1ccccc1[C@@H](F)C(=O)N1C[C@H]2C[C@@]2(C(N)=O)C1
208,CSc1ccccc1[C@H](F)C(=O)N1C[C@H](C(N)=O)[C@@H]2C[C@@H]21
209,CSc1ccccc1[C@@H](F)C(=O)N1C[C@H](C(N)=O)[C@@H]2C[C@@H]21
210,CSc1ccccc1[C@H](F)C(=O)N1C[C@@H](C(N)=O)[C@@H]2C[C@@H]21
211,CSc1ccccc1[C@@H](F)C(=O)N1C[C@@H](C(N)=O)[C@@H]2C[C@@H]21
212,CSc1ccccc1[C@H](F)C(=O)N1C[C@H](C(N)=O)[C@H]2C[C@@H]21
213,CSc1ccccc1[C@@H](F)C(=O)N1C[C@H](C(N)=O)[C@H]2C[C@@H]21
214,CSc1ccccc1[C@H](F)C(=O)N1C[C@@H](C(N)=O)[C@H]2C[C@@H]21
215,CSc1ccccc1[C@@H](F)C(=O)N1C[C@@H](C(N)=O)[C@H]2C[C@@H]21
216,CSc1ccccc1[C@H](F)C(=O)N1C[C@H](C(N)=O)[C@@H]2C[C@H]21
217,CSc1ccccc1[C@@H](F)C(=O)N1C[C@H](C(N)=O)[C@@H]2C[C@H]21
218,CSc1ccccc1[C@H](F)C(=O)N1C[C@@H](C(N)=O)[C@@H]2C[C@H]21
219,CSc1ccccc1[C@@H](F)C(=O)N1C[C@@H](C(N)=O)[C@@H]2C[C@H]21
220,CSc1ccccc1[C@H](F)C(=O)N1C[C@H](C(N)=O)[C@H]2C[C@H]21
221,CSc1ccccc1[C@@H](F)C(=O)N1C[C@H](C(N)=O)[C@H]2C[C@H]21
222,CSc1ccccc1[C@H](F)C(=O)N1C[C@@H](C(N)=O)[C@H]2C[C@H]21
223,CSc1ccccc1[C@@H](F)C(=O)N1C[C@@H](C(N)=O)[C@H]2C[C@H]21
224,CSc1ccccc1[C@H](F)C(=O)N1C[C@@H]2C[C@H](C1)C(=O)N2
225,CSc1ccccc1[C@@H](F)C(=O)N1C[C@@H]2C[C@H](C1)C(=O)N2
226,CSc1ccccc1[C@H](F)C(=O)N1C[C@H]2C[C@H](C1)C(=O)N2
227,CSc1ccccc1[C@@H](F)C(=O)N1C[C@H]2C[C@H](C1)C(=O)N2
228,CSc1ccccc1[C@H](F)C(=O)N1C[C@@H]2C[C@@H](C1)C(=O)N2
229,CSc1ccccc1[C@@H](F)C(=O)N1C[C@@H]2C[C@@H](C1)C(=O)N2
